line number, spanish prep found, index of spanish prep, translated to, code, original Spanish, original English,isused
34, para,104,for,AMBIG, Conseguimos los resultados del laboratorio de NTSB y el examen del motor del helicóptero salió positivo para dos compuestos distintos, We pulled the lab reports from the NTSB and the chopper's engine tested positive for two distinct compounds.,x
35, para,54, for, PU, El primero es ethepon que es un agente de crecimiento para el tabaco., The first is ethephon which is a ripening agent for tobacco.,x
36, para,74, to,AMBIG, De hecho desde 1998 el gobierno federal ha estado pagando a los granjeros para que no lo cultiven., In fact since 1998 the federal government is actually paying farmers not to grow it.,x
37, para,14, to, PU, Este es usado para cultivar maiz., This one is used to grow sweet corn.,x
38, para,73, to, PU, De los otros seis Solo uno tiene una estructura lo suficientemente larga para conseguir ese helicóptero robado fuera de vista y bajo construcción., Uh of the other six uh only one has a structure large enough to get that stolen helicopter out of view and under construction.,x
40, por,34,please, POR FAVOR, Reddington necesito que me llames por favor., Reddington I need you to call me please.,x
42, para,52,NONE, PU, Tú viniste a mi casa de Halstead y ordenamos comida para llevar y alquilamos una película que nunca acabamos porque terminamos..., You'd come over to my place on Halstead and we ordered uh... Takeout and rented a movie that we never finished because we ended up...,x
43, para,33, for, PU, Y tenías que levantarte temprano para trabajar., And you had to get up early for work.,x
44, para,2, by,TD, Y para cuando me levanté te habías ido., And by the time I got up you were gone.,x
46, por,40, for,FE, Y desde ese mismo momento sentí lástima por ti..., And ever since that moment I just felt... Sorry for you...,x
48, para,41, to, PU, Usaste al FBI y a los hermanos Pavlovich para llegar a Tom y qué ¿Tomaste a Xiaoping para hacer un gran trato?, You used the FBI and the Pavlovich brothers to get to Tom and what get Xiaoping? Make some bigger deal? Trade on her secrets?,x
49, para,13, for, PU, No tengo uso para la guerra biológica., I have no use for germ warfare.,x
50, por,40,DISTRANS,CA, No estaría en esta relación Si no fuera por beneficio mutuo., I wouldn't be in this relationship if there wasn't a mutual benefit.,x
51, por,17, for,IN, Intenté negociar por su vida pero las negociaciones se fueron de lado, I tried to bargain for her life but negotiations went sideways.,x
52, para,27, to, PU, Fue todo lo que pude hacer para tener a Tom, It was all I could do to get Tom.,x
53, para,12,over (here), DE, ¿Papi viene para acá?, Is daddy coming over?,x
54, para,14, to, PU, No estoy aquí para hacerte daño Liz., I am not here to hurt you Liz.,x
55, por,47,by,AT, Niebla Blanca fue un proyecto secreto iniciado por el gobierno chino hace cinco años., Whitefog was a black project started By the Chinese government five years ago.,x
56, por,17,why, CA, pero es la razón por la cual Tom ha trabajado mucho para serlo para ti., but it's the reason why Tom had to work so hard to be that for you...,x
56, para,50,to, PU, pero es la razón por la cual Tom ha trabajado mucho para serlo para ti., but it's the reason why Tom had to work so hard to be that for you...,x
56, para,, for,RE, pero es la razón por la cual Tom ha trabajado mucho para serlo para ti., but it's the reason why Tom had to work so hard to be that for you...,x
57, por,23,out there,IS, ¿Hay alguna celebridad por ahí?, Is there a celebrity out there?,x
58, por,6,please, POR FAVOR, ¡Esto por favor!, This please!,x
59, para,21,so, PU, Significa esconderse para que no pueda verte solo vete, It means hide so I can't see you just go away,x
60, por,32, for,CA, Siempre doy vueltas en círculos por ti, I always go round in circles for you,x
63, por,20,by,AT, Su plan es aprovado por muchos pero un miembro se opone violentamente., The scheme is approved by many. But one member violently opposes same.,x
64, por,61,by,AT, Luego de que el orden se ha reestablecido el viaje propuesto por el presidente es votado por una comisión., Upon order being restored the trip proposed by the president is voted by acclimation.,x
65, para,54, to, PU, El presidente Barbenfouillis selecciona cinco colegas para que lo acompañen., President Barbenfouillis selects five colleagues to accompany him:,x
66, para,125,DISTRANS, PU, Entran en el interior de un taller donde herreros mecánicos pesadores carpinteros tapizadores etcétera están trabajando duro para completar la máquina., We enter the interior of the workshop where smiths mechanics weighers carpenters upholsterers et cetera are working hard at the completion of the machine.,x
67, para,85, for, PU, Ante una señal una masa de acero fundido es dirigida desde cada horno hacia el molde para el cañón., At the signal a mass of molten steel is directed from each furnace into the mold for the gun.,x
68, para,44, to, PU, El casquillo se encuentra en posición listo para recibir a los viajeros., The shell is in position ready to receive the travelers.,x
69, por,27,through,IS, Un marino cierra el puente por donde han pasado., A marine closes the bridge through which they have passed.,x
70, para,68, to, PE, Los astrónomos salen y están encantados con el paisaje que es nuevo para ellos., The astronomers get out and are delighted at the landscape which is new to them.,x
71, por,28,NONE,IS, Los astrónomos ven cráteres por todos lados., The astronomers see craters everywhere.,x
72, por,19, to,IT, Justo cuando están por explorar una explosión arroja a los desafortunados hombres violentamente en todas direcciones., Just as they are about to explore an explosion throws the unfortunate men violently in all directions.,x
73, por,37,by,IN, Luego las estrellas son reemplazadas por hermosas visiones de Phibes en una luna cresciente., Then the stars are replaced by a lovely vision of Phoebes on the crescent of Saturn in his globe and of charming young girls holding up a star.,x
74, para,21,to, PU, Uno de ellos abre su paraguas para comparar su tamaño con el de un hongo. Pero el paraguas de repente echa raíces y transformándose en un hongo empieza a crecer gradualmente obteniéndo gigantescas proporciones., One of them opens his umbrella to compare its size with the mushroom but the umbrella suddenly takes root and transforming itself into a mushroom starts growing attaining gigantic proportions.,x
76, por,86,NONE,ME, Él se apresura hasta la cuerda que cuelga de la punta de la nave y dejándose deslizar por la cuerda le da un impulso que causa que la nave caiga desde el borde de la Luna., He rushes to the rope which hangs from the point of the shell and letting himself slide down the rope he gives it an impetus which causes the shell to fall off the edge of the moon.,x
77, para,94, to, PU, Aquel día un actor de la Comedia Italiana Tiberio Fiorelli aka Scaramouche entra en la tienda para comprar algunos accesorios., an actor of the Comedia Italia Tiberio Fiorelli aka Scaramouche wishes to purchase some accessories,x
78, por,98,the whole of,IS, Unos meses más tarde Molière funda con la familia Béjart el Ilustre Teatro con el que irá de gira por Francia., a few months later Jean-Baptiste Poquelin aka Molière founds with the Béjart family the Illustrious Theater and they tour the whole of France,x
79, por,64,by,AT, Molière desea audiencia con el rey Luis XIV pero es despreciado por los cortesanos., Molière wishes an audience with King Louis 14 but he's resented by the King's court,x
80, por,24,by,AT, Intertítulos traducidos por * * * toerless * * *, Subs by SickSadWorld @ KG 2022,x
81, por,9,NONE,IS, El deber por encima de todo., Duty above all else.,x
82, por,13,for,IT, Fue exhibida por última vez en 1928. Desde entonces fue considerada perdida., For the last time movie was presented in 1928. in USA and since than it was considered as lost.,x
83, por,30,by,AT," La película fue autentificada por el director general de la... ""Kinoteca de Yugoslavia"" Radoslav Zelenovic... y el gerente de ""Archivos de la kinoteca yugoslava"" Aleksandar Erdeljanovic."," Movie was authenticated by general manager of ""Jugoslovenska kinoteka"" Radoslav Zelenovic... and manager of ""Arhiva jugoslovenske kinoteke"" Aleksandar Erdeljanovic.",x
84, por,64,by,AT, La copia original no llevaba intertítulos pero fueron agregados por Aleksandar Erdeljanovic., Original movie was made without intertitles but they were made by Aleksandar Erdeljanovic.,x
85, por,78,by,AT, Serbia fue derrotada en la batalla de Kosovo en 1389. Desde 1459. fue ocupada por el imperio Turco., After Serbia was defeated in Kosovo battle in 1389 since 1459. it was occupied by Turkish empire.,x
86, para,44, to, PU, El terrateniente turco vino con un pretexto para pasar la noche., Turkish landowner came with plea to spend the night.,x
87, para,36,DISTRANS, PU, Un terrible león vino en mis sueños para comerme pero el llanto del niño me despertó., Petar the terrible lion came in my dream and ate me but Childs voice awoke me.,x
88, por,188,by,AT, Al pequeño Djordje le gustaba jugar a Serbios y Turcos pero disfrutaba más... escuchar las canciones épicas sobre la batalla del Kosovo y la muerte del sultán Murat... quién fue asesinado por Milos Obilic el gran héroe., Little Djordje liked to play Serbs and Turks but he enjoyed most... listening epic songs about Kosovo battle and death of sultan Murat who was killed... by Milos Obilic great hero.,x
89, por,20,to,ID, Me gustaría tomarla por esposa., I'd like to take you to be my wife.,x
90, por,34, for,CA, - ¿No sabes que el Serbio mataría por su honor?, - You are threatening but how you are going to... your master and Sultans son? - Don't you know that Serb would kill anyone for his honor?,x
91, por,0,over,IS, Por temor a la represalia Turca el fue por el río Sava a Srem pero... su suegro Petronije cambió de opinión y dijo que los entregaría a los Turcos si ellos no regresaban., In fear of Turkish revenge he went Over Sava river to Srem but... His stepfather Petronije changed his mind and said that he is going to give them away to Turks if they don't come back.,x
92, por,78, for,CA, En cuanto leyó una carta confidencial de Serbia lo decidió... no quería morir por otros... cuando en Serbia las batallas comenzaban., As soon as he read confidential letter form Serbia he decided... that he doesn't want to get killed for others when time for battles in Serbia is coming.,x
93, por,9,by,AT, Ocultado por la oscuridad de la noche llegó a Serbia., Hidden by the shelter of the night again in Serbia.,x
94, para,19, for,RE, Justicia e igualad para todos., To be just and equal for all?,x
95, por,64,by,AT, Karadjordje y su gente esperan la caballería Turca... conducida por Kulin en el campo de Misar., Karadjordje and his staff expecting Turkish cavalry led by Kulin Capitan on Misar field.,x
96, por,16,by,AMBIG, - Vengo enviado por algo urgente., - I was sent by an urgent thing.,x
97, por,45, for,CA, - Gracias a ustedes mi... sueño será dulce. ¡Por la gente por Serbia por la libertad!, -Thank you my dream will be sweet. For people for Serbia for freedom!,x
98, por,11,by,AT, Construido por Aleksandar hijo de Karadjordjes en 1848., Built by Karadjordjes son Aleksandar in 1848.,x
99, por,47,by,AT, El ángel de la Vida señala el camino recorrido por la Muerte, The angel of life points the path followed by Death,x
100, por,8,by,CA, Furioso por el desafió de Romeo, Angered by the challenge of Romeo,x
101, para,31, for, PU, se pronuncia la pena de exilio para Romeo Montesco por infringir la ley del duelo, I pronounce the sentence of exile for Romeo Montague for breaking the law.,x
101, por,51, for,CA, se pronuncia la pena de exilio para Romeo Montesco por infringir la ley del duelo, I pronounce the sentence of exile for Romeo Montague for breaking the law.,x
102, para,55,of, PU, El padre Lorenzo ofrece a Julieta un inesperado método para escaparse de la unión que la amenaza, Father Lorenzo offers Juliet an unexpected method of escaping the threatened marriage,x
103, por,10,DISTRANS,AT, Informado por las voces de la gente, Hearing the voices of the people,x
104, para,16,to, PU, Vuelve a Verona para ver por ultima vez a su amada., Returns to Verona to see his beloved for the last time.,x
104, por,25, for,IT, Vuelve a Verona para ver por ultima vez a su amada., Returns to Verona to see his beloved for the last time.,x
105, para,19,DISTRANS, PU, Un minuto de pausa para la preparación de la 2ª. 1812 la Gran Guerra Nacional 2ª parte., 1812 THE GREAT NATIONAL WAR Second part.,x
106, por,60, to,CA, Los habitantes que se quedaron en Moscú están aterrorizados por el incendio de la Pierre blanca., The inhabitants who stayed in Moscow are terrorised to see the white walls burn.,x
107, por,29,through,IS, Napoleón avanza con tristeza por las ardientes calles de Moscú., With effort Napoleon advances through the burning streets of Moscow.,x
108, por,28,for,FE, Se siente una pena infinita por la madre nodriza que arde., It proves endless grief for the nursing mother who burns.,x
109, para,52,to, PU, Napoleón envía a Lauriston al Emperador Alexandre I para discutir la paz. 22 de septiembre de 1812., Napoleon sends Lauriston to emperor Alexander I to discuss peace. 22 September 1812.,x
110, por,16,DISTRANS,CA, Parada nocturna por los restos de un gran año., Stop for the night for the remains of a grand army.,x
112, para,9, to, PU, El medio para el fin., The means to an end.,x
113, por,37,NONE,ID, Ella dará a luz un hijo y le pondrás por nombre JESÚS porque Él salvará a su pueblo de sus pecados., For what is born of it in the Spirit is holy She will give birth to a son and you will give him the name ISUS for he will save his people from their sins.,x
114, para,21, for,RE, ... y no había sitio para ellos en la posada., there was no place for them in the inn.,x
115, por,63,at,IT, Y había pastores en la misma región... que guardaban su rebaño por la noche., And in that same area shepherds... they guarded with their flock at night.,x
116, para,53, for,RE, No temáis porque os doy nuevas de gran gozo que será para todo el pueblo., (Anreo im pak reie:) Do not be afraid; I'm telling you great joy that will be for all people.,x
117, para,49,DISTRANS, PU, Id y averiguad con diligencia acerca del niño... para que yo también vaya a adorarle., (and say) go and examine exactly about the child and when you find it let me know that I also come to bow down to him.,x
118, por,21,DISTRANS, POR DIOS, Pero siendo avisados por Dios en un sueño para que no volvieran a Herodes regresaron a su tierra por otro camino., And since they had been dreamed in a dream that they should not return to the world He returned the other way to his country.,x
118, para,40,that, PU, Pero siendo avisados por Dios en un sueño para que no volvieran a Herodes regresaron a su tierra por otro camino., And since they had been dreamed in a dream that they should not return to the world He returned the other way to his country.,x
119, para,58,to, PU, Levántate y huye a Egipto... pues Herodes buscará al niño para matarlo., Stand up and flee to Egypt... and be there when I tell you because Irod will ask a child to kill him.,x
120, por,43,ERR,CA, Cuando tuvo doce años subieron a Jerusalén por la costumbre de la Fiesta., When he was twelve years old there (in Jerusalem) by prazininom obiiaju.,x
121, para,31,DISTRANS, PU, Volvieron otra vez a Jerusalén para buscarle., He returned to Jerusalem seeking him.,x
122, para,51, to,AMBIG, Y Jesús crecía en sabiduría y estatura y en gracia para con Dios y los hombres., Jesus however advanced in wisdom and growth and grace to God and to people.,x
123, por,29,NONE, IS, Y mirando a Jesús que andaba por allí..., and when he looked at Jesus who was passing...,x
124, por,2,from, IS, Y por allí vio a otros dos hermanos Jacobo... y su hermano Juan..., And when they went from there they saw the other two brothers James the Zealot and John his brother...,x
126, por,30,for,CA, Pues al derramar este perfume por mi cuerpo ella lo hizo por mi funeral., For my burial do it.,x
127, por,22, to,CA, Éste es mi cuerpo que por vosotros es dado., This is my body which is given to you;,x
128, por,94, for,CA, De igual manera después de cenar tomó la copa... Esta copa es el nuevo pacto de mi sangre que por vosotros se derrama., And also after the dinner... this glue is a new alliance with my blood that spills for you.,x
130, para,52,DISTRANS, PU, Y después de burlarse de él... Ellos... lo llevaron para crucificarle., And when he gets bored... so that he would spatter it.,x
132, para,56,that, PU, De tal manera amó Dios al mundo que dio a su único Hijo para que todo aquél que en él cree no se pierda sino que tenga vida eterna., For God so loved the world that he gave his only-begotten Son that everyone who believes in him does not perish but it has more life.,x
133, para,26,to, PU, El pobre músico se marcha para aumentar su fortuna., The poor musician goes away to improve his fortune.,x
134, por,35,by,AT, En el Danubio Los rusos rechazados por los turcos., Over the Danube Russians repelled by the Turks.,x
135, por,20, for,CA, Ceremonia religiosa por las banderas., Religious ceremony for the flags.,x
136, por,35, for,TO, Continuad tropas confiando en Dios por la Independencia rumana., Proceed troops trusting God for our right for the Romanian Independence.,x
137, para,33, to, PU, Kasalewsky recibe una invitación para participar en un vuelo estadounidense., Kasalewsky receives an invitation to take part in the American flight.,x
138, por,27,by,DI, Una caída a 200 kilómetros por hora., A descent of 200 kilometers by the hour.,x
139, por,75,due to,CA, El famoso avidor Jean Kasalewsky que cayó desde una altura de 2.000 metros por un fallo en el motor está gravemente herido en el hospital., Terrible aviationary accident. The famous aviator Jean Kasalewsky has falled down at a height of 2000 meters due to a failure of his engine. He has been taken terribly hurt and transported to the hospital for elderly.,x
140, para,29,NONE, PU, Le ruego que venga enseguida para proceder a las acciones pertinentes., I beg you to come immediately and take the appropriate action.,x
141, por,88,by,AT," - Haremos todas las pesquisas que estén en nuestra mano pero el golpe ha sido efectuado por una misteriosa organización el ""Círculo negro"" de la cual no tenemos ninguna pista."," - We will do all the inquiries that we can but the theft has been done by a   mysterious organization the ""Black Circle"" of which we don't have any clue",x
143, para,17, to, PU, Papá Brown llega para pasar unos días en la fábrica., Father Brown arrives to spend A few days in the ranch.,x
144, para,49, to, PU," En la ciudad el comisario tiene un nuevo sistema para desmantelar al ""Círculo negro""."," In the city the commissioner has set up a new system to break up the ""Black Circle"".",x
146, por,12,by,AT, Abandonados por la cristiandad los bizantinos siguen a su emperador de las murallas a la basílica., Forsaken by the Christian world the Byzantines followed their emperor to the basilica on the ramparts.,x
147, para,21,to, PU, Se eligieron mujeres para ser vendidas en todos los mercados del Islam., The women were chosen to be sold under the steps of Islam.,x
148, por,31,DISTRANS,ME, Pieter se deja llevar a tierra por las olas., Pieter allows the waves to wash him ashore.,x
149, por,42, to,IN, Reconozco recibir la suma de 100 mil ffs. por concertar a Lady Beltham una entrevista de 15 minutos con el condenado a muerte Gurn en una casa cercana a la Prisión de la Santé., I acknowledge acceptance of hundred thousand francs to carefully handle a fifteen minute meeting of lady Beltham with the person sentenced to death Gurn in a home close to the prison of Jante.,x
150, para,56, to, PU," Entretanto todo Paris colma el teatro del Grand Trèteau para aplaudir al célebre comediante Valgrand en el drama ""La mancha sangrienta"," Meanwhile all Paris ran to the theatre of Grand Treteau to applaud the famous actor Valgrand in drama ""The bloody Stain"".",x
151, por,45, for,IN, Lady Beltham había alquilado a precio de oro por una noche un departamento en frente de la prisión., Lady Beltham had rented a flat at gold price for night in front of the prison.,x
152, para,9, to, PU, Ahora preparan la guillotina para cortar el cuello de Valgrand, They raise guillotine... to cut the Valgrand's neck!,x
153, por,27,by,AT, El Inspector Juve no se da por vencido por Jérôme Fandor Fantômas está vivo y libre!, Escape of Fantomas Inspector Juve has not won. by Jerome Fandor Fantomas is alive and he is free!,x
154, para,47, to, PU, Gerhard decide ir a Rotterdam con un detective para descubrir el motivo del suicidio de su hermano., Gerhard decides to travel with a detective to Rotterdam to find out why his brother took his own life.,x
155, para,64, to, PU, Tuve el placer de invitar a Van Geldern a visitarnos esta tarde para poder observarlo mejor., I had the pleasure to invite van Geldern to this evening so I can observe him better.,x
156, para,47, to, PU, Gerhard visita a Van Geldern en su apartamento para atraparlo., Gerhard visits van Geldern in his apartment to get him trapped.,x
157, para,16,DISTRANS,RE, Este es un club para gente que está cansada de la vida., This club is tired of life.,x
159, por,24, for,IT, Las jóvenes cómo vieron por primera vez el mar y quedaron encantadas. ¡Adentro ya!, The girls how they saw the sea for the first time and loved it. Onward!,x
160, por,7,into,IS, ¡Vamos por esos mundos de Dios!, Come out into the world of the gods!,x
161, por,6, for,CA, Lucha por la chica entre el dios del mar y el fauno, The struggle between the god of the sea and the Faun for the girl.,x
162, por,57,at,AMBIG, Sr. Jefe de la Sûrete. El cadáver de la mujer encontrada por el Dr. Chalek no ha podido ser identificado de manera precisa pues la víctima ha sido completamente desfigurada., Mister chief of Safety Female body found at the Dr. Chaleck's could not be identified in a definite way because the victim was completely disfigured.,x
163, por,5,there,IS, Juve por detrás está Fantômas..., - Juve there underneath there is Fantômas.,x
164, por,58,DISTRANS,CA, El me tiene confianza y no cree que pueda defraudarlo. Es por eso que estaré junto a él en el viaje., He has a strong crush and thinks I haven't lost my innocence.,x
165, por,103,DISTRANS,CA, El Sr. Martialle representante de la casa Kessler et Barru comerciantes en vinos en Bercy y suspirando por Joséphine, Mister Martialle representative of the house Kessler and Barru wine merchants in Bercy and the lover of Josephine.,x
166, para,69,to, PU, Monsieurs Bordier Pontarlier. Como continuación de nuestros tratos y para tener contacto recíproco en el asunto de la destilería del Sr. Blaise remitimos a traves de nuestro representante 150 mitades de billetes de banco de mil francos., Misters residents Potarlier Further to our dialogues and to link us reciprocally in the affair of the distillery of St Blaise we give you by our representative one hundred fifty halves of one thousand franc banknotes.,x
167, por,14, for,IN, Juve! lo tomé por Fantômas, I took you for Fantômas!,x
168, por,27, for,IN, -Yo también Fandor lo tomé por Fantômas!, - Me also Fandor took you for Fantômas!,x
169, para,42,to, PU, Fandor informado por Martialle había venido para ponerse a disposición., Fandor informed by Martialle had come to finish the matter.,x
169, por,17,by,AT, Fandor informado por Martialle había venido para ponerse a disposición., Fandor informed by Martialle had come to finish the matter.,x
170, por,55,by,AT, Comprometida en el asesinato de su marido Lord Beltham por Gurn su amante que no era otro que Fantômas Lady Beltham descansa a falta de pruebas en el prado de un convento cerca de Paris., Compromised by her accomplice and lover Gurn in assassination of her husband lord Beltham lady Beltham was discharged for lack of proof.,x
171, para,16, to, PU, Es una cisterna para recoger el agua de lluvia., - It's a tank to gather the rainwater.,x
172, por,89,by,AT, Sí nos marcharemos pero antes el inspector Juve será encontrado muerto en su cama muerto por mi silencioso ejecutor..., - Yes we will leave. But before the inspector Juve will be found dead in his bed killed by my silent executioner...,x
173, por,99,ERR,IT, El inspector Juve no había olvidado el cadáver aplasdo encontrado en el departamento de Chaleck. Y por la noche del tercer día..., The inspector Juve has not forgotten the crushed body found at Chaleck's.,x
174, por,37,by,AT, Ignorando que había sido sorprendido por Juve y Fandor Fantômas considera el chalet de Lady Beltham como un escondrijo seguro., Unaware that he had been discovered there by Juve and Fandor Fantômas held the villa of lady Beltham for a sure hiding-place.,x
175, por,9,by,AMBIG, Asustado por la tormenta de nieve Cacho volvió a su hogar., Frightened by the snowstorm Chub turned for home,x
176, por,15,around,IS, Mientras tanto por el pueblo circuló el rumor de que Vakula se había ahogado., Meanwhile a rumour went around the village that Vakula had drowned,x
177, por,23,by,AT, Me casaré sin ellos... por N. Nusinova y Iurii Tsiv'ian. ¡No necesito zapatos taco aguja!, I'll marry you without them... by N.Nusinova and Iurii Tsiv'ian.,x
178, por,46,DISTRANS,CA, Scapinelli era conocido entre los estudiantes por su forma de ser sin escrupulos., Scapinelli was known among the students to be without scruples.,x
179, para,14, for,RE, Pues creo que para el mejor espadachín de Praga y el mas atrevido debe haber alguna posibilidad, I believe there must be some opportunities for the best and most daring swordsman of Prague,x
180, por,75, for,FE, La celosa Lyduschka sabe todo de los embrollos del viejo Scapinelli y teme por Balduin., The jealous Lyduschka knows all about the old Scapinelli and fears for Balduin.,x
181, para,3, for, PU, Preparativos para la caza en el Castillo del Conde Schwartzenberg., Arrangements are made for the hunt in Count Schwartzenberg's castle.,x
182, por,32, for,CA, Os estoy eternamente agradecido por haber salvado a mi hija, I am grateful for life for saving my daughter's life,x
183, por,9,so,CA, ¡Escoged por tanto lo que deseeis!, So do choose whatever you like!,x
184, para,28, for,RE, Ha comenzado una nueva vida para Balduin..., A new life started for Balduin...,x
185, por,16,please,POR FAVOR, Querida Condesa por favor mantened la promesa que me habeis hecho de encontrarnos mañana por la tarde en el lugar acostumbrado., Dear Countess please I beg you to keep your promess to meet tomorrow afternoon in the usual place.,x
185, por,16,NONE, IT, Querida Condesa por favor mantened la promesa que me habeis hecho de encontrarnos mañana por la tarde en el lugar acostumbrado., Dear Countess please I beg you to keep your promess to meet tomorrow afternoon in the usual place.,x
186, para,23, for, PU, La Condesa Margit sale para ir a la cita., Countess Margit is leaving for her date.,x
187, por,19, for,AMBIG, Mi querida Condesa por la tranquilidad... la paz... la soledad..., My dear Countess for the quietness... the peace... the solitude...,x
188, por,28,by,CA, Balduin todavia trastornado por lo acontecido regresa a casa..., Balduin still worried by what happened returns home...,x
189, por,13,here, IS, ¿Que os trae por aquí Señor Baron?, What brings you here Baron?,x
190, por,7,here, IS, ¿Usted por aquí Señor Conde?, What are you doing here Count?,x
191, para,89, to,INF, Es el único hijo de mi hermana y el futuro marido de mi hija mi heredero y el último que para transmitir el apellido de nuestra familia, He is the only son of my sister and the future husband of my daughter he is my heir and the last one to carry our name,x
192, por,30, for,IT, ¡Me librare de tí  de una vez por todas..., I will get rid of you once and for all...,x
193, por,0, for, POR FAVOR, Por favor acepte mis humildes disculpas por molestarle en este momento..., Please accept my humble apologies for disturbing you at such a time...,x
194, por,31,on,CA, En París solo durante 48 horas por negocios el joven marqués ocioso decide ir al cine., In Paris for 48 hours on business and quite alone the young Marquis at a loose end decides to go to the pictures.,x
195, por,12,by,AT, Atormentado por los celos René vuelve a casa sin avisar con la intención de sorprender a su infiel esposa., Tormented by jealousy René returns home unannounced hoping to surprise his unfaithful wife.,x
196, por,51,DISTRANS,CA, Y René creyó haber tenido un mal sueño si no fuera por aquella maldita imagen que empujaba su brutal deseo de espiar y saber..., And René would have believed it all a bad dream if the accursed image wasn't there to foster his brutal desire to spy and to know...,x
197, por,100,by,AT, Le ruego que me permita abrazar a mi hermana Es cierto que cometí una grave falta siendo denunciado por mi familia y forzado al exilio., I beg you to allow me to embrace my sister. True I have committed a grave sin been denounced by my family and forced into exile.,x
198, por,8,through,IS, De paso por Francia mi único deseo ha sido verla pero no nos hemos encontrado., Passing through France my only desire has been to see her but she has not kept our rendez-vous.,x
199, por,53,DISTRANS,CA, Pero Dios debía un milagro a Suzanne que solo velaba por el honor del apellido de quien ama..., But she who had only stood by her beloved brother was saved...,x
