line number, spanish prep found, index of spanish prep, translated to, code, original Spanish, original English
525, para,5, ?,RE, Casa para inmigrantes italianos. Waterstreet 6. Nueva York., HOUSE FOR ITALIAN IMMIGRANTS Waterstreet 6 New York
531, para,22, for,RE, Tengo un gran secreto para ti., I've got a big secret for you.
540, para,28, for,RE, La misma Gizella Rocco posa para mí., Gizella Rocco herself is posing for me.
562, para,77, for,RE, Dime tú si un hombre así no posee la cualidad del marido que habíamos soñado para Iza..., Tell me if such a man does not possess the qualities of a husband that we dreamed of for Iza...
588, para,70, for,RE," ¿Adónde ibas?"" ""A ver al niño y a dar a la doncella una carta urgente para mi modista."," Where were you going?"" ""To see the child and to deliver to the maid an urgent letter for my milliner."
598, para,19, for,RE, Tu primer beso fue para mí..., Your first kiss was for me...
601, para,8, for,RE, Bailaré para vos., I'll dance for you!
607, para,12, for,RE," Era mío era para mí"".", It's mine it's for me!
668, para,21, for,RE, Ven a servir el vino para mi hermano., Pour wine for our brother. Refill it.
674, para,29, to,RE, Si quiere volar voy a sailar para ella., I will set sail if she wants to set sail.
725, para,13, for,RE, Estas flores para nuestros invitados de esta noche., Flowers for this evening's guests.
743, para,76, for,RE, ¡Por dos veces ha rechazado el Gobernador blanco tu petición de más tierras para tu tribu oh Jefe!, The white Governor has twice denied your request for land for your tribe O Chief!
745, para,125, to,RE, Llegará el momento en que yo tu padre esté camino del más allá y tú mi hijo le demostrarás al gran Jefe Blanco que África es para nuestra raza negra., The time will come when I your father will take the long road to the other side and you my son will prove to the great white Chief that Africa belongs to our black race.
760, para,17, to,RE, Saludos oh amigo para ti y tu pequeña Rosa blanca., Greetings O friend to you and your little 'White Rose'.
762, para,82, ?,RE, Yace aquí bajo las piedras donde me traía de cacería. Sus últimas palabras fueron para ti, He lies there beneath the rocks where he had led me on the hunt.
806, para,33, per,RE, Tráigame esos papeles que guardó para mí., Get me the papers that you put away for me.
825, para,121, by,RE, - Soy tu esposo por ley; por lo tanto es mi deber pensar en nuestro destino y decidir sobre nuestro futuro y lo que es mejor para nosotros., I am your husband by law therefore it is my duty to think about our fate and to decide about our future and what is best for us...
852, para,20, to,RE, Eres un tesoro fiel para mí te acortas el tiempo de una novia. , What a loyal sweetheart you are to me whiling away the time with a young girl.
855, para,18, for,RE, ¡Ese oficio no es para mí!, This profession is no good for me!
877, para,6, for,RE, No es para usted Madame es para él. ¡Retírese!, This is not for you Madame it's for him. Out of the way!
883, para,39, to,RE, Paz en la tierra... los mejores deseos para toda la humanidad., Peace on earth -- good will to all mankind.
892, para,15, to,RE, La paz de Dios para ti también., God's peace to you too.
899, para,16, to,RE, ¡La paz de Dios para ti también!, God's peace to you too!
972, para,45, for,RE, Quería hablar sobre lo que tenemos arreglado para Brita cuando ella sea liberada., I wanted to talk about what we've arranged for Brita when she is freed.
973, para,28, for,RE, Ya hemos comprado un boleto para ella., We've already bought a ticket for her.
988, para,26, for,RE, ¡No soy lo bastante buena para usted!, I'm not good enough for you!
989, para,43, for,RE, Ella dijo que no era suficientemente buena para nosotros., She said she wasn't good enough for us.
994, para,20, for,RE," ¡Aquí hay una carta para usted Ingmar""!", Here's a letter for you Ingmar!
999, para,53, to,RE, Podría haberme atrevido a escribir una carta de amor para tí, Would I have dared write a love letter to you
1001, para,21, to,RE, Ingmar es un ejemplo para todos como su padre!, Ingmar is an example to us all just like his father!
1010, para,38, for,RE, Yo le diré a Sven quesaque el caballo para usted., I'll tell Sven to hitch up the horse for you.
1045, para,40, for,RE, Adorable y querida madre. No deseo nada para mí;, Dearest darling mother I desire nothing more for myself.
1057, para,26, for,RE," Mi estimada Sally esto es para ""tú sabes quién!"," Dearest Sally this is for ""You know who""!"
1066, para,26, for,RE, ¿Es esta una conversación para usted?, Is this a conversation for you?
1068, para,35, for,RE, Puedes comprarme un boleto a Tirol para mí?, Could you buy a ticket to Tyrol for me?
1081, para,28, for,RE, Crearé un asilo en mi finca para esos desafortunados, I will create an asylum in my house for these unfortunates
1094, para,39, for,RE," ¿Hay sitio en el ""Hogar de la alegría"" para un desesperado?", Is there room in the House of Joy for one in despair?
1135, para,79, for,RE, Las ruinas del castillo Sendlingen antaño altivas son ahora... campo de juegos para los hijos de los pobres., The ruins of Sendlingen castle once so proud... now a playground for the children of the poor.
1140, para,37, ?,RE, Werner siempre aplica pena de muerte para casos tan horribles, Werner always applies the death penalty in such dread causes...
1164, para,17, for,RE, ¡Oferta especial para solterones viudos y misóginos!, Available for bachelors widowers and misogynists!
1170, para,50, for,RE, La niñera de las niñas Leah era una segunda madre para las gemelas., The children's nurse Leah was a second mother for the little twins.
1177, para,47, via,RE, El último plan de Vivian: una casa- residencia para todos los perros falderos viejos., To the success of my daughter Vivian's latest plan a home for sick and old lapdogs.
1178, para,28, for,RE, La mitad de lo que tengo es para ti..., Half of what I have is for you...
1179, para,26, for,RE, la mitad de lo que tienes para mí., half of what you have is for me.
1185, para,27, ?,RE, Mira acabo de comprar esto para ti., Look I bought this just FOR YOU.
1186, para,35, for,RE, Con esto podré comprar mucha leche para niños pobres., Great this will buy milk for a lot of poor babies.
1191, para,12, for,RE, Vivió feliz para los otros... y murió feliz por la misma razón., Happily she lived for others... and happily she died...
1225, para,78, for,RE, Generosas donaciones han posibilitado que Elias Renato pudiera crear un hogar para los huérfanos de la sociedad en una isla no muy lejos de la ciudad..., Generous donations have made it possible for Elias Renato to create a home for the orphans of society on an island not far from the city... Generous donations have made it possible for Elias Renato to create a home for the orphans of society on an island not far from the city...
1229, para,35, for,RE, La conspiración se hace más pesada para Sandro Grec., The plot thickens for Sandro Grec.
1238, para,73, for,RE, ¡Me has humillado tanto que prolongar esta conversación sería vergonzoso para ambos!, You have humiliated me so deeply that a prolongation of this meeting will be an embarrassment for both us!
1240, para,2, to,RE, Y para jóvenes y viejos Ysabel es un ángel de luz., And to young and old Ysabel is an angel of light.
1249, para,112, to,RE, - - Has elegido la bola negra. ¡El honor de asesinar a nuestro enemigo el juez que condenó a uno de nosotros es para ti!, You have picked the black ball the honor to murder our enemy the judge who convicted one of us goes to you!
1262, para,51, for,RE, Tiene algo importante que anunciar algo importante para él y para vos. , He says it is important for him and for you.
1266, para,16, for,RE, No tengo tiempo para ti cariño., I have no time for you dear;
1267, para,14, for,RE, ¿Acaso uno es para mi?, Perhaps one is for me?
1276, para,37, for,RE, Tengo un regalo de boda muy especial para usted., I have a very special wedding gift for you.
1333, para,18, for,RE, No hay nada mejor para una mujer. ¡Agárrate a eso!, There is no bigger blessing for women. Hold onto it!
1337, para,27, for,RE, Alteza tengo una candidata para Vd. Una jovencita encantadora., Your Highness I have a proposal for you... a charming young girl... .
1346, para,34, for,RE, Mientras Varèse alquila una villa para todos los que le esperan., Meanwhile Varèse rented a large villa for his guests.
1356, para,18, for,RE, Redacto esta nota para mis herederos..., Varèse having died in the shipwreck of the Guyenne I write this note for my heirs...
1367, para,24, ?,RE, ¡Un día que nunca llega para nosotros María Obal!, Never comes the day Maria Obal!
1381, para,80, per,RE, Voy a anunciar el nombre del hombres que dirigirá el próximo año la Bio-Central para nuestro país y para todos los pueblos del mundo., I will announce the names of the twelve men chosen at random to operate the Bio-Factories the next year for the good of our country and for all peoples of the world.
1387, para,33, for,RE, La mitad de la tierra cosecha es para Robert Herne y su país., Half the world for Robert Herne and his country!
1390, para,58, to,RE, He venido a exigirle a Robert Herne que libere su central para bien de toda la humanidad., I've come to Robert Herne to urge him to free his Central to all mankind.
1406, para,134, by,RE, ... Por consiguiente solicitamos al alto clero que anule el matrimonio del rey Enrique y Catalina de Aragón pues no ha sido beneficioso para este país., ...We hereby call upon England's high church leaders to annul the marriage of King Henry to Catherine of Aragon who has failed to bring any benediction to the land -
1409, para,32, for,RE, Ahora compondré una oda nupcial para Ana Bolena., Now I shall compose a wedding poem for Anne Boleyn.
1450, para,11, to,RE, Esta carta para ti mi querida hermana será la última., This letter to you my dear sister will be my last.
1472, para,27, for,RE, Vas a hacer tu aprendizaje para ti empieza la vida., You are going to start your apprenticeship. Life is beginning for you.
1473, para,66, for,RE, B. P. F. 5.000 Páguese al Magistrado la suma de cinco mil francos para los pobres del pueblo., B. P. F. 5.000 Payable to the Magistrate for the Amount of Five thousand francs for the town's poor. -
1483, para,37, for,RE, Decidle que tengo un mensaje secreto para él., Now - go and tell him that I have a secret message for him.
1519, para,21, for,RE, Consígueme un marido para Liesel y tendrás a Gretel., Find me a husband for Liesel and you can marry Gretel.
1545, para,28, ?,RE, Finalmente el veredicto fue para Sofren., At last the verdict was Sofren.
1553, para,47, to,RE, Sin embargo un día ocurrió algo muy importante para todos., However one day something happened of the greatest importance to everybody.
1620, para,13, for,RE, Un telegrama para Irmgard Vanderheit., A telegram for Irmdard Vanderheit.
1621, para,71, for,RE, Mándeme este telegrama con la nota de urgente y el resto del dinero es para usted por su trabajo, Send me this telegram with the urgent note and the rest of the money is for you for your work.
1623, para,62, to,RE, Acabo de dar a otros pasajeros el cuarto que estaba reservado para esta señora., I've just given the room that was reserved to this lady to other passengers.
1637, para,50, to,RE, La casualidad hizo que te descubriese y lo guardé para mi en consideración a mi cuñada..., Casualty made me find you and I what I kept in relation to my sister-in-law...
1661, para,34, for,RE, Lo siento jovencita no tengo nada para ti., Sorry young lady but I ain't got nothing for yet.
1678, para,94, for,RE, Cada vez está logrando una mejor posición como médico y científico como he deseado alguna vez para él desde nuestra niñez., More and more he is attaining a position as a physician and scientist that I've desired for him ever since our childhood together.
1697, para,63, for,RE, ... tanto si me tratas bien como si me matas... me da igual... para vos ya no tengo corazón... , whether you treat me well or strike me dead - it's all one to me... I have no heart left for you...
1716, para,56, for,RE, ¡Recordar que quería salvar el trono de nuestros padres para vos!, Remember that I wanted to save the throne of our father for you!
1717, para,10, for,RE, ¡Esto era para mí!, This was meant for me!
1720, para,7, to,RE, ¡Orden para nuestro vasallo el Rey Fortinbrás!, Order to our vassal King Fortinbras!
1735, para,75, for,RE, Yo no la voy a obligar a irse pero siempre intentaré que tengamos un hogar para ambos., I don't mean to push you around. I'll always try to get a home for her and me.
1773, para,16, for,RE, Será suficiente para los niños y para mi., It will suffice for the children and myself.
1777, para,46, for,RE, Sanders Webster un anciano reunió el sustento para su madre con sus esfuerzos., Sanders Webster himself already an old man earned with arduous work the dry bread for his mother.
1790, para,29, for,RE, - - Sólo vengo a traer bayas para los caballeros ministro., I've come to bring berries for the gentlemen sir.
1826, para,19, for,RE, El primer verso es para ti., The first verse is for you.
1859, para,65, to,RE, Mademoiselle estará desilusionada... el Casino solo está abierto para los árabes., Mademioselle will be disappointed- the Casino is closed to all except Arabs.
1873, para,12, for,RE, ¡La quieres para ti!, You want her for yourself!
1874, para,22, ?,RE, Su mano es tan grande para un árabe., His hands is so large an Arab.
1894, para,37, for,RE, Pero entonces esta carta era también para mi hermano Werner, But then this letter was also for my brother Werner
1895, para,16, to,RE, Tengo una deuda para con el portador de esta carta., I am indebted to the bearer of this letter.
1930, para,21, for,RE, Pediremos vacaciones para ti., We will ask for a vacation for you.
1932, para,10, ?,RE, Esto será para todos nosotros una fiesta., This will be a great feast.
1934, para,40, for,RE, Clemente Baronesa os suplico protección para Constanza., Dear Baroness I beg protection for Constance.
1936, para,9, for,RE, Le deseo para su 'Don Giovanni' el mismo éxito que ha conseguido con 'Figaro'.," I hope you have the same success for ""Don Giovanni"" as you achieved with ""Figaro."
1941, para,20, for,RE, Derechos exclusivos para Dinamarca:, Exclusive rights for Denmark:
1961, para,11, by,RE, ¡Lo recogí para Pip quien le dio pan a un diablo miserable y lo apoyó!, I collected it for Pip who gave a miserable devil a crust and stood by him!
2014, para,35, ?,RE, Tu habitación siempre estuvo lista para ti., Your room was always prepared.
2042, para,25, per,RE, A partir de hoy no estoy para nadie ni personalmente ni por teléfono., As from today I am not available to anyone neither personally nor by telephone
2064, para,4, to,RE, Mas para mi!, But to me!
2135, para,88, ?,RE, Y fuera de las esferas planetarias estaban las estrellas fijas distribuidas en un cielo para ellas., And outside the planetary spheres were the fixed stars arranged in a sky of their own.
2152, para,144, for,RE, Cuando la campana de la tarde resuena en la noche y todas las hogueras de la ciudad están cubiertas con cenizas el Diablo va a buscar a Apelone para sus aventuras., When the evening bell tolls in the night and all fires in town are covered with ashes the Devil fetches Apelone for his adventures.
2174, para,13, for,RE, como ejemplo para los hombres como dulce aroma para Dios., as edification for man as sweet scent for God.
2186, para,80, for,RE, Y la mujercita a la que llamamos histérica sola y triste ¿no es aún un misterio para nosotros?, And the little woman whom we call hysterical alone and unhappy isn't she still a riddle for us?
2193, para,103, by,RE, Las unidades de voluntarios que surgieron al comienzo de la Guerra Civil Fueron siempre una gran ayuda para un Ejército Rojo joven y aún no endurecido por la batalla que libra contra los ataques enemigos., The volunteer units that emerged at the beginning of the Civil War supported by the center provided assistance to a young and not yet hardened Red Army for battle fighting against enemy attacks.
2218, para,87, by,RE, Deliberadamente dañada por un proyectil de Krasnaia Gorka la barcaza proporcionó cobertura para las líneas rojas que avanzaban., Deliberately damaged by a shell from Krasnaia Gorka the barge provided cover for the advancing red lines.
2235, para,29, for,RE, ¡Nathan está dando un festín para los pobres!, Nathan is giving a feast for the poor!
2246, para,11, for,RE, ¡Clemencia para Nathan!, Clemency for Nathan!
2248, para,48, ?,RE, Leu Von Filneck supera ahora la prueba más dura para tu corazón:, Leu von Filneck now comes the hardest test of your heart: This is your sister!
2253, para,11, for,RE, El peligro para Wisborg se acercaba., The danger for Wisborg drew nigh.
2258, para,137, to,RE, La gente joven cae masivamente. Todas las víctimas presentan las mismas curiosas heridas en el cuello cuyo origen sigue siendo un enigma para los médicos., All victims exhibit the same peculiar stigmata on the neck the origin of which still puzzles the doctors.
2271, para,32, for,RE, ¡Melanie no parece tener tiempo para esto! ¿Verdad?, Melanie doesn't have any time for this - does she?
2280, para,20, ?,RE, ¡Es demasiado bueno para esto!, He's above all of this!
2282, para,49, for,RE, ¡pero no puedo vivir sin la esperanza de ganarla para mí!, But I can't go on any longer - without the hope of someday acquiring her for myself!
2287, para,23, to,RE, ¡El mundo está cerrado para los que llegamos con las manos vacías!, The world is closed to those who come with empty hands!
2289, para,26, for,RE, ¡Quiero comprar esta tela para mi madre!, I'd like to buy this piece for my mother!
2290, para,16, for,RE, ¡He traído algo para ti madre!, I brought something for you Mother!
2309, para,13, for,RE, Salomé baila para mí y te daré el trono de tu madre., Salomй dance for me and I will give you the throne of your mother.
2310, para,21, for,RE, ¡Salomé Salomé baila para mí!, Ў Salomй Salomй dance for me!
2311, para,9, for,RE, Si bailo para ti Tetrarca ¿me darás lo que te pida?, If I dance for you Tetrarch will you give me what I ask?
2313, para,8, for,RE, Bailaré para ti Tetrarca., I will dance for you Tetrarca.
2316, para,30, per,RE, El mar tiene juegos muy duros para jugadores inexpertos., The sea plays very hard games with inexperienced players.
2318, para,24, for,RE, La inactividad es ideal para personas ociosas pero cuando se aplica es más difícil que el trabajo duro., Inactivity is ideal for idle people but when it becomes a necessity it is worse than hard work.
2325, para,57, for,RE, Sr. Cartaret la madre de este niño me ha dado esta carta para usted., Mr. Cartaret the mother of this child here has given me this letter for you.
2329, para,112, for,RE, Como su madre moribunda predijo Kathleen desarrolló si no un olvido total por la vida de su tío al menos consuelo para su tristeza ...y así empezó el verano de 1914., Like her dying mother had already foreseen Kathleen had brought if not total oblivion to the life of her uncle then at least given consolation in his sadness and so the summer of 1914 had begun.
2332, para,16, for,RE, eso es bastante para mí., that is enough for me.
2360, para,38, for,RE, Querida madre he ganado 20.000 libras para ti., Dearest mother-in-law I have won 20000 pounds for you.
2361, para,20, for,RE, Hoy no tengo tiempo para ti., I also don't have any time for you today.
2371, para,24, for,RE, ¡Lo ves no existe ayuda para ella!, You see there is no help for her!
2392, para,17, ?,RE, La vida florezca para él. Salud y fuerza., Life gives him salvation and strength.
2420, para,25, for,RE," no hay lugar en la Corte para una zarrapastrosa..."" le dicen"," There is no place in the Court for a rag-tag..."" they say."
2421, para,83, for,RE, y el baile las luces los trompetistas la noble Pavana el corazón del príncipe-todo para ella!, And the dance the lights the trumpeters the noble Pavana the heart of the prince-everything for her.
2428, para,50, for,RE, Podéis ver hijos míos que este lugar no es seguro para vosotros., You see my children this country is not safe for you! ...
2432, para,3, for,RE, Prepara una buen cama para este valiente joven., Prepare a good bed for this nice young man! ...
2437, para,54, for,RE, Creo que las puertas de ese claustro de abren a veces para ti..., I believe the doors of that cloister sometimes open for him...
2457, para,55, by,RE," Pioneras del cine italiano"" financiado por el Ministerio para los Bienes y la Actividad cultural."," Pioneers of Italian cinema"" Funded by the Ministry for Good and Cultural Activity."
2462, para,51, because,RE, Estará bien tener un yerno que me asegure la pasta para mi bebida., - What are they plotting? It's weird because One is her father and the other is Tore's friend.
2466, para,85, for,RE, - Soy la madre de Tore Spina y si me concede ese honor le pido la mano de Nanninella para mi hijo., - It is good for you to come.
2467, para,55, to,RE, Con un padre como tú no quiero la prisión ni la muerte para Tore., - Father why do you want to kill My heart?
2468, para,16, ?,RE, esa mujer no es para ti., Her father ... her father...
2479, para,20, for,RE, - - No tengo flores para ti ¡pero te ofrezco mis lágrimas!, - I don't have any flowers for you But I offer you my tears!
2482, para,5, for,RE, - Es para él..., - It's for him...
2486, para,54, for,RE, Ahí puede Ud. ver ya el hospital que hemos construido para nuestros pobres y maltratados correligionarios que han sido expulsados de su patria y de sus casas..., There you can already see the hospital that we have built for our poor distressed fellow believers who have been chased away from their fatherland and home.
2494, para,21, ?,RE, Ahora seré una carga para Ud., I must now impose myself on you.
2496, para,19, for,RE, El Hogar Elizabeth para huérfanos de guerra aprendizas y obreras., The Elizabeth Home for war orphans female apprentices and workers.
2497, para,14, for,RE, El 'Internado para niños abandonados' en Viena., The Boarding School for Abandoned Boys in Vienna.
2522, para,17, for,RE, ¡Un placer tanto para niños como para adultos!, A treat for children and adults alike!
2531, para,18, for,RE, Hay más recuerdos para ustedes., There are more refreshments for you.
2549, para,8, for,RE, Alcohol para quien tenga penas., Alcohol for those who have sorrows.
2564, para,0, ?,RE, Para ti y para tu hijo mi casa siempre estará abierta., You can come live here with your child.
2565, para,33, to,RE, No puedo seguir siendo una carga para ti., I cannot longer be a burden to you.
2567, para,33, for,RE, Tengo otro regalo de aniversario para Ud..., I have a birthday present for you.
2618, para,17, for,RE, Tengo un mensaje para Capitán Phoebus., I have a message for Captain Phoebus
2620, para,34, for,RE, La mitad del tesoro de Notre Dame para vos... por la mano de Esmeralda., Half of the treasure of Notre Dame to you - for the hand of Esmeralda in marriage.
2629, para,24, for,RE, Una agradable diversión para los obreros que reparaban la Catedral., A pleasant diversion for the workmen who were repairing the Cathedral.
2639, para,55, for,RE, He venido a deciros... ¡Mañana mi padre vendrá a pedir para mí la mano de Agathe!, Tomorrow my father will come to ask for Agathe's hand on my behalf.
2656, para,6, for,RE, ¡Gana para mí la Corona de Francia!, Win the crown of France for me!
2692, para,18, for,RE, - Este aplauso es para Zaza., That applause is for Zaza!
2702, para,59, for,RE, -- ¡Espera a ver el maravilloso contrato que Rigault tiene para ti!, Wait till you see the wonderful contract Rigault has for you!
2706, para,30, for,RE, Recuerda hay un buen contrato para ti cuando ella deje a Dufresne., Remember... there's a good contract for you when she quits Dufresne!
2707, para,28, for,RE, ¡Menudo nidito ha dispuesto para ti!, What a downy little nest he's fixes up for you!
2713, para,25, for,RE, ¿Querría usted cantar... para mí?, Won't you sing... just for me?
2728, para,18, for,RE, ¡Qué gran reclamo para nosotros!, Great publicity for us!
2741, para,25, per,RE, Nariz como la vuestra es para un perfumista una muestra, 'What a sign for perfumery!
2784, para,20, for,RE, Un concurso inédito para las damas..., An unannounced competition for the ladies ...
2795, para,27, ?,RE, ¡Tendrá un efecto curativo para él!, That will have a healthy effect on you!
2853, para,21, ?,RE, -- ¿Estas flores son para mí?, - My dear little Thora...
2855, para,19, for,RE, Sería una crueldad para los dos., It would be a cruelty - for both of you.
2858, para,5, to,RE, Toca para mí Thora., Won't you play to me Thora?
2860, para,30, for,RE, - - No soy el hombre adecuado para Thora., - I'm not the right man for Thora.
2864, para,10, for,RE, Tejo ropa para papá porque está frío., I am weaving clothes for father.
2868, para,52, for,RE, - Creo que estamos justificados al abrir la iglesia para Aslak al servicio de la verdad., - I think we are justified in opening the church for Aslak in the service of truth!
2870, para,8, for,RE, Tocaste para mí y fue hermoso..., You played for me and it was beautiful...
2895, para,45, for,RE, Afrodita concédeme otro deseo: dame un reino para Elena con todas su magnificencias., Aphrodite grant me another wish: Give me a kingdom for Helen and all its riches.
2901, para,51, for,RE, Llena de amor y gratitud coloca Elena los laureles para Aquiles en la cabeza de Paris., Filled with love and gratitude Helen places the laurel wreath meant for Achilles on Paris's head.
2934, para,20, for,RE, El cáliz con veneno para Paris y Elena., The chalice with poison for Paris and Helen.
2936, para,19, for,RE, ¡La segunda flecha para Elena!, The second arrow for Helen!
2938, para,33, ?,RE, El Senado y pueblo de Roma piden para ti el favor de los dioses., The senate and the people of Rome wish you the favour of the gods.
2941, para,25, ?,RE, Tu belleza es una fiesta para Roma¡oh divina!, Your beauty is the celebration of Rome divinity.
2942, para,16, for,RE, Esta vida no es para ti amor., This life isn't for you love.
2943, para,24, for,RE, Pero la felicidad no es para los esclavos., But happiness is not for slaves.
2946, para,53, for,RE, Allí estáel circo donde correré y ganaré mi libertad para tí., There's the circus where I'll race and win my liberty for you oh!
2954, para,10, to,RE, La mezcla para los caballos de Ennio. ¡Dáselo todo!, The mash to be given to the horses of Ennius. All of it!
2955, para,10, for,RE, - Esto es para tí., - This is for you.
2974, para,18, for,RE, No quiero honores para mí., I do not want honor for me alone.
2975, para,14, for,RE, ¡Qué deshonra para Roma!, What a shame for Rome!
2988, para,21, for,RE, ¡Por eso voy a robar para ti el anillo de los deseos del Califa!, For I shall steal the Caliph's wishing ring for you!
2989, para,30, for,RE, Flor mía ¿tienes un escondite para un hombre grueso?, My pond-lily have you a hiding place for a fat man?
2996, para,43, to,RE, No prestamos vivienda vaya al departamento para asuntos femeninos., We don't provide quarters. Go to the women's section.
3016, para,66, to,RE, La unión de su Alteza con la Gran Duquesa Olga sería la salvación para Abacco., Your Highness' marriage to the Great Duchess Olga would save Abacco.
3021, para,63, to,RE, ¿Pretende en serio Paqueno que me convierta en un sinvergüenza para mis súbditos?, ¿Paqueno do you really expect me to become a scoundrel to my subjects?
